"storm_id", "location", "fips", "sust_wind_kt", "gust_wind_kt"
"Allison-2001", "Evergreen, AL", "01035", 19, 28
"Allison-2001", "Mobile, AL", "01097", NA, 38
"Allison-2001", "Mobile, AL", "01097", 24, 46
"Allison-2001", "Pensacola, FL", "12033", 30, 36
"Allison-2001", "Barataria Bay, LA", "22051", NA, 37
"Allison-2001", "Bootheville, LA", "22047", 26, 39
"Allison-2001", "Door Pass, LA", "22087", NA, 36
"Allison-2001", "Grand Pass, LA", "22075", NA, 28
"Allison-2001", "NE Bay Gardene, LA", "22075", NA, 46
"Allison-2001", "New Orleans, LA", "22071", 33, 38
"Allison-2001", "New Orleans, LA", "22071", 24, 29
"Allison-2001", "Salt Point, LA", "22101", NA, 35
"Allison-2001", "Slidell, LA", "22103", 19, 28
"Allison-2001", "Gulfport, MS", "28047", 28, 38
"Allison-2001", "Gulfport, MS", "28047",
"Allison-2001", "Angleton, TX", "48039", NA, 23
"Allison-2001", "Beaumont, TX", "48245", 31, 36
"Allison-2001", "Conroe, TX", "48339", NA, 26
"Allison-2001", "Eagle Point, TX", "48167", 37, 42
"Allison-2001", "Ellington Field, TX", "48201", 20, 44
"Allison-2001", "Galveston, TX", "48167", 33, 40
"Allison-2001", "Galveston, TX", "48167", 35, 42
"Allison-2001", "Galveston, TX", "48167", 34, 47
"Allison-2001", "Galveston, TX", "48167", 38, 45
"Allison-2001", "Houston, TX", "48201", 27, 33
"Allison-2001", "Houston, TX", "48201", 21, 28
"Allison-2001", "League City, TX", "48167", NA, 25
"Allison-2001", "Morgans Point, TX", "48201", 27, 36
"Allison-2001", "Palacios, TX", "48321", NA, 24
"Allison-2001", "Pearland, TX", "48039", 26, 32
"Allison-2001", "Sugarland, TX", "48157", NA, 25
"Allison-2001", "Tomball, TX", "48201", 21, 29
